,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,R1A,R1B,R2A,R2B,R3A,R3B,R4A,R4B,R5A,R5B,RVASC,RURO,RCPL,RGIN
13/09/2026 (Domingo),none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
14/09/2026 (Lunes),Libre,Libre,Libre,C. HOS M.,C. HOS M.,Libre,C. HOS T.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
15/09/2026 (Martes),Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
16/09/2026 (Miércoles),C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
17/09/2026 (Jueves),Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,Libre,C. HOS M.,C. HOS M.,C. HOS M.,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
18/09/2026 (Viernes),Libre,C. HOS M.,C. HOS M.,Libre,Libre,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
19/09/2026 (Sábado),none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
20/09/2026 (Domingo),none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21/09/2026 (Lunes),Libre,Libre,Libre,C. HOS M.,C. HOS M.,Libre,C. HOS T.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
22/09/2026 (Martes),Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
23/09/2026 (Miércoles),C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
24/09/2026 (Jueves),Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,Libre,C. HOS M.,C. HOS M.,C. HOS M.,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
25/09/2026 (Viernes),Libre,C. HOS M.,C. HOS M.,Libre,Libre,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
26/09/2026 (Sábado),none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27/09/2026 (Domingo),none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
28/09/2026 (Lunes),Libre,Libre,Libre,C. HOS M.,C. HOS M.,Libre,C. HOS T.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
29/09/2026 (Martes),Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
30/09/2026 (Miércoles),C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,C. HOS M.,C. HOS M.,C. HOS M.,Libre,C. HOS M.,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre,Libre
